Alta Ribagorça;0.000;0;339.288;4;339.288;30297.024
Alt Camp;19142.121;141;583.109;22;19725.230;328469.701
Alt Empordà;1999.213;27;143.094;2;2142.308;935064.404
Alt Penedès;457.551;4;61.531;3;519.082;525665.184
Alt Urgell;174.215;2;6204.974;60;6379.189;120057.896
Anoia;2532.447;31;782.004;29;3314.452;633672.666
Bages;30641.143;356;1579.515;24;32220.658;658615.496
Baix Camp;29198.631;310;1636.621;23;30835.252;771756.229
Baix Ebre;1628.772;27;338.111;12;1966.882;471947.685
Baix Empordà;2675.369;55;1016.652;12;3692.022;979919.844
Baix Llobregat;11111.056;305;6.362;1;11117.417;1769373.207
Baix Penedès;287.512;12;141.401;5;428.913;733767.274
Barcelonès;0.000;0;245.149;1;245.149;1305310.470
Berguedà;553.844;12;1530.575;33;2084.418;158122.713
Cerdanya;643.586;14;2887.208;32;3530.794;208302.814
Conca de Barberà;12325.570;159;871.133;20;13196.703;137433.744
Garraf;0.000;0;0.000;0;0.000;570253.874
Garrigues;15364.413;221;605.053;12;15969.466;123564.631
Garrotxa;386.747;7;1457.164;23;1843.911;257120.167
Gironès;1646.787;23;1227.641;20;2874.428;617360.495
Maresme;54583.835;578;7357.235;85;61941.070;1345658.194
Moianès;12600.050;135;135.411;2;12735.461;130186.654
Montsià;772.137;9;482.692;3;1254.828;337233.028
Noguera;41259.835;504;4877.274;85;46137.108;255154.547
Osona;67596.288;807;5184.497;59;72780.785;727091.174
Pallars Jussà;133.627;2;878.258;22;1011.885;105225.052
Pallars Sobirà;0.000;0;7774.830;82;7774.830;75998.807
Pla de l'Estany;0.000;0;3382.105;51;3382.105;151714.852
Pla d'Urgell;29913.092;356;80.867;1;29993.959;225683.953
Priorat;15414.212;226;286.449;5;15700.661;73351.316
Ribera d'Ebre;19829.857;224;475.839;12;20305.696;129409.489
Ripollès;432.033;7;355.119;4;787.151;133005.272
Segarra;28493.900;420;1140.497;17;29634.397;159516.391
Segrià;45528.742;459;1596.132;22;47124.874;607045.610
Selva;3856.899;62;1108.660;12;4965.559;984026.624
Solsonès;625.137;9;104.357;5;729.494;76922.125
Tarragonès;53781.500;714;1143.113;15;54924.613;903581.597
Terra Alta;4102.824;50;0.000;0;4102.824;74708.444
Urgell;40127.832;484;470.322;13;40598.154;202745.836
Val d'Aran;87.990;2;1471.751;32;1559.741;67685.028
Vallès Occidental;52430.708;817;3998.402;52;56429.110;2298648.411
Vallès Oriental;106337.690;1104;3887.677;48;110225.367;1726190.826
,,,,,,